Eirik;Gundersen;NOR;M35;02:47:08
Vai;Gunner;IRL;M40;02:49:15
Bas;Haasnoot;NED;M35;02:49:23
Olivier;Harasse;FRA;Msen;02:47:22
Christophe;Haumont;FRA;Msen;02:48:26
Frank;Heijmink;NED;M50;02:54:46
Philippe;HEURTAULT;FRA;M45;02:55:42
Bart;Hoeksma;NED;M35;02:49:48
Alistair;Holland;GBR;M35;02:44:16
Thomas;Holliday;GBR;Msen;02:49:55
Marko;Honkala;FIN;M45;02:54:11
Jos;Hoogeboom;NED;M45;02:41:33
Oren;Hoz;ISR;M40;02:52:04
Anders;Hultgren;SWE;Msen;02:40:09
Raymond;Hutubessy;NED;M50;02:56:08
Sven;Hyldal;DEN;Msen;02:46:37
Francois;Iriarte;FRA;M40;02:54:59
Joris;Jacobs;BEL;Msen;02:56:30
Alexander;James;GBR;Msen;02:55:21
Robert;Jan;NED;M50;02:49:52
Rudi;Jansen;NED;Msen;02:48:34
Peter;Janssen;NED;M40;02:55:15
Christian;Jonen;GER;Msen;02:36:47
Sebastian;Jones;GBR;Msen;02:49:14
Craig;Jones;GBR;M35;02:50:48
Christian;Juan;GER;Msen;02:47:43
Anthony;JUGE;FRA;Msen;02:54:05
Seiji;Kaku;NED;M50;02:55:35
Jacob;Kendagor;KEN;Msen;02:10:13
Martin;Keulemans;NED;M45;02:45:00
Harald;Kiewiet;NED;Msen;02:48:47
Mike;Kigen;KEN;Msen;02:07:45
Bernard;Kipyego;KEN;Msen;02:06:19
Abel;Kirui;KEN;Msen;02:10:55
Mads;knudsgaard;DEN;Msen;02:44:58
Erick;Kogo;KEN;Msen;02:29:04
Kalle;Kolehmainen;FIN;M40;02:54:48
Axel;Kostenbader;GER;M40;02:52:11
Paul;Krochak;SWE;M40;02:31:17
Mark;Kuil;NED;M35;02:54:07
Thomas;Kunze;GER;M45;02:51:42
Julien;Lafaye;FRA;M35;02:53:18
Stefano;LaRosa;ITA;Msen;02:11:11
Jacek;Latala;POL;M35;02:56:00
Fabrice;Latapy;FRA;M45;02:52:35
Aliasgar;Latifi;IRI;M40;02:45:36
Philippe;Lax;FRA;M45;02:50:40
Martin;Lefebvre;FRA;Msen;02:51:09
Ritvars;Lerme;LAT;M40;02:50:17
Martin;Lewis;GBR;Msen;02:29:57
